                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.56595,                0.64023,                0.38161,                0.87757,                0.92986,                0.95918,                0.97769,                0.84774,                0.95168,                0.97674,                0.98912,                0.84278,                0.58022,                0.65569,                0.36862,                0.89917,               0.002674,               0.002674,               0.002674
                     39,                0.53712,                0.62031,                  0.366,                0.86473,                0.96148,                0.96746,                0.97448,                0.84975,                0.97175,                0.97779,                0.98521,                0.85093,                  0.562,                0.65884,                0.35408,                0.88657,               0.002476,               0.002476,               0.002476
                     40,                0.51164,                0.57515,                0.32179,                0.85327,                0.95059,                 0.9509,                0.97328,                0.83918,                0.96463,                0.96641,                0.98214,                 0.8379,                0.58464,                 0.7723,                0.39985,                0.89428,               0.002278,               0.002278,               0.002278
                     41,                0.52564,                 0.6313,                0.33436,                0.86522,                0.95285,                0.95866,                0.98327,                0.84778,                0.98385,                0.94832,                0.98639,                 0.8452,                0.57397,                0.72485,                0.36239,                0.88737,                0.00208,                0.00208,                0.00208
                     42,                0.50694,                0.61101,                0.31923,                0.85353,                0.96816,                0.94574,                0.98664,                 0.8512,                0.97888,                0.95607,                0.99019,                0.84868,                0.56407,                0.70425,                 0.3506,                0.89179,               0.001882,               0.001882,               0.001882
                     43,                0.49836,                0.57529,                0.31046,                0.85054,                0.95157,                0.96455,                0.98969,                0.86103,                0.96006,                0.97158,                0.99072,                0.85769,                0.54367,                0.69077,                0.34729,                0.88288,               0.001684,               0.001684,               0.001684
                     44,                0.49732,                 0.5897,                0.30765,                 0.8522,                0.96265,                0.95607,                 0.9883,                0.86219,                0.97013,                0.96382,                0.99061,                0.85912,                0.55592,                0.69056,                0.34642,                0.88405,               0.001486,               0.001486,               0.001486
                     45,                0.49301,                0.57529,                0.30572,                0.84869,                0.97374,                0.95816,                0.98703,                 0.8574,                0.96885,                0.96453,                0.98848,                0.85542,                0.54363,                0.68905,                0.33844,                0.88283,               0.001288,               0.001288,               0.001288
                     46,                0.47746,                0.57306,                0.29402,                0.84113,                0.95351,                 0.9539,                0.97933,                0.84428,                0.96384,                0.96424,                0.98878,                0.84195,                0.54437,                0.69985,                0.34252,                0.89035,                0.00109,                0.00109,                0.00109
                     47,                0.47189,                0.55863,                0.28612,                0.83435,                0.95738,                0.94315,                0.98273,                0.86246,                0.95638,                0.96321,                 0.9887,                0.86399,                0.53907,                0.65798,                0.34172,                0.88381,               0.000892,               0.000892,               0.000892
                     48,                0.47236,                0.56849,                0.28251,                0.84868,                0.95859,                0.94315,                0.98236,                0.86544,                0.96362,                0.95809,                0.98868,                0.86557,                0.53534,                0.64907,                0.34243,                0.88036,               0.000694,               0.000694,               0.000694
                     49,                0.46207,                 0.5501,                0.27872,                0.84421,                0.92859,                0.97444,                0.98259,                0.86495,                0.96371,                0.95866,                  0.988,                0.85852,                0.53872,                0.66334,                0.33363,                0.87862,               0.000496,               0.000496,               0.000496
